state,month,year,rainfall_mm,pH,turbidity_NTU,dissolved_oxygen_mg_L,total_coliform_MPN,water_temp_C,risk_level,risk_score,primary_disease
Tamil Nadu,April,2020,37.9,7.04,0.95,8.29,89,25.39,low,13.9,Typhoid Fever
Arunachal Pradesh,December,2024,97.7,7.13,5.19,7.25,99,16.55,moderate,25.33,None
Gujarat,September,2022,311.4,7.02,3.97,9.03,373,25.72,high,57.96,Giardiasis
Andhra Pradesh,February,2021,36.0,8.05,3.0,7.51,95,15.0,moderate,28.45,None
West Bengal,June,2023,222.6,6.45,7.67,6.69,499,35.0,severe,84.79,None
West Bengal,March,2023,50.1,6.59,5.65,4.92,145,21.0,moderate,45.8,None
Odisha,June,2021,168.8,7.34,2.39,6.48,133,26.79,moderate,32.47,None
Jharkhand,December,2022,91.4,8.22,4.53,5.9,106,17.01,moderate,42.36,None
Uttar Pradesh,March,2021,8.0,7.63,6.52,6.93,165,21.09,moderate,41.73,None
Maharashtra,February,2024,20.9,7.81,4.58,8.06,108,19.43,moderate,28.06,None
Manipur,March,2021,34.8,6.94,3.38,5.13,121,31.33,moderate,39.47,None
Chhattisgarh,October,2024,141.6,6.77,5.43,6.9,100,22.41,moderate,29.87,None
Odisha,October,2023,148.5,7.03,2.0,8.3,87,22.6,low,14.3,None
Uttarakhand,May,2020,52.6,7.18,5.53,8.13,96,31.37,moderate,28.14,None
Gujarat,September,2020,158.8,7.32,4.91,8.12,130,29.71,moderate,30.88,None
Assam,December,2020,158.7,6.76,4.1,5.27,98,22.05,moderate,35.08,None
Punjab,February,2020,48.0,6.95,0.55,8.55,92,19.33,low,10.8,None
Tamil Nadu,September,2021,530.5,6.08,14.21,5.48,559,22.99,severe,129.14,Typhoid Fever
Punjab,June,2023,325.5,8.16,13.78,8.5,400,26.68,severe,99.0,Dysentery
Tamil Nadu,March,2024,0.0,7.9,0.86,5.1,83,26.07,moderate,36.56,Cholera
Maharashtra,January,2024,26.6,5.66,4.3,7.76,83,21.22,moderate,32.11,None
Telangana,April,2023,53.0,6.43,5.56,9.32,98,24.36,moderate,28.8,None
Chhattisgarh,September,2021,167.0,7.49,3.65,6.92,162,21.26,moderate,34.43,None
Punjab,May,2024,21.8,7.9,3.88,9.25,102,29.9,moderate,31.91,None
West Bengal,January,2023,52.3,7.06,5.52,5.1,176,22.47,moderate,44.97,None
Himachal Pradesh,August,2022,266.1,7.0,10.58,9.33,333,25.04,high,56.98,Cholera
Tamil Nadu,December,2024,157.0,7.9,3.17,9.74,117,21.93,moderate,28.01,None
Telangana,April,2023,51.6,8.12,7.54,4.94,87,30.87,high,55.71,None
Tripura,May,2020,22.1,6.46,4.79,6.94,95,28.35,moderate,33.95,None
Tamil Nadu,June,2021,285.2,6.6,6.33,7.32,354,27.89,high,59.41,Giardiasis
Andhra Pradesh,January,2023,35.3,7.45,4.54,6.18,102,23.99,moderate,34.88,Dysentery
West Bengal,July,2022,353.0,6.75,14.6,6.66,633,23.69,severe,124.25,Cholera
Telangana,March,2023,18.9,6.73,3.22,7.23,107,24.83,moderate,26.1,None
Meghalaya,October,2023,215.5,7.71,7.92,9.74,202,19.29,moderate,43.14,None
Rajasthan,November,2022,21.9,7.23,6.71,7.44,92,24.23,moderate,29.84,None
Assam,October,2020,42.9,7.31,5.56,4.0,107,21.48,moderate,45.66,None
Chhattisgarh,August,2021,336.8,6.93,8.62,6.93,402,24.23,severe,78.73,None
Maharashtra,May,2020,23.3,6.74,4.98,8.17,93,34.41,moderate,29.06,None
Telangana,November,2024,165.1,6.91,6.23,5.09,100,19.82,moderate,37.91,None
Meghalaya,June,2023,568.1,6.49,13.25,7.83,574,29.99,severe,113.81,Cholera
Sikkim,June,2021,257.0,6.75,7.47,7.48,352,28.45,high,59.47,None
Tamil Nadu,February,2020,60.4,6.92,1.04,6.04,79,19.02,low,20.58,None
Arunachal Pradesh,March,2024,50.1,6.53,4.16,5.72,91,25.03,moderate,36.03,None
Maharashtra,August,2024,165.3,6.49,0.5,4.07,157,24.92,moderate,43.91,None
Arunachal Pradesh,November,2023,66.5,7.49,3.51,5.16,96,16.55,moderate,35.72,None
Mizoram,September,2021,288.6,7.0,10.1,6.46,355,19.87,high,63.4,None
Madhya Pradesh,April,2020,40.5,6.68,12.52,7.43,133,25.54,moderate,47.16,Dysentery
Tripura,August,2022,283.4,6.94,10.69,6.67,385,26.45,high,70.35,None
West Bengal,January,2020,63.7,6.89,2.63,9.66,163,18.97,low,22.66,None
Rajasthan,February,2023,25.2,8.5,3.59,2.0,105,19.28,high,62.68,None
West Bengal,May,2020,49.2,7.39,5.62,10.4,142,28.28,moderate,33.48,None
Manipur,April,2021,26.0,7.03,3.37,6.99,91,30.4,moderate,26.39,Hepatitis A
Rajasthan,May,2024,11.4,8.5,1.69,5.22,91,24.78,moderate,43.77,None
Manipur,December,2023,98.5,6.28,5.17,6.92,104,20.78,moderate,33.73,None
West Bengal,July,2024,503.2,7.77,19.12,7.03,842,17.2,severe,161.99,Hepatitis A
Nagaland,May,2023,35.1,7.03,3.44,7.26,108,28.48,moderate,25.92,Giardiasis
Jharkhand,January,2023,0.0,6.97,4.27,7.2,104,21.32,low,23.9,None
Nagaland,October,2024,180.5,6.93,6.87,8.89,99,26.05,moderate,27.37,None
Mizoram,July,2022,243.0,7.0,8.41,5.74,321,22.03,high,61.23,None
Telangana,May,2024,65.5,7.09,4.25,6.54,97,26.02,moderate,29.41,None
Bihar,January,2020,0.0,6.81,4.9,7.27,182,17.98,moderate,33.55,Cholera
Nagaland,August,2023,326.4,7.18,12.27,7.02,378,24.49,severe,85.54,Hepatitis A
Odisha,March,2022,0.0,7.41,3.18,8.35,108,23.62,low,23.07,None
Andhra Pradesh,October,2023,167.8,6.89,1.42,5.76,95,26.5,moderate,27.89,None
Andhra Pradesh,March,2021,0.0,6.87,1.22,8.99,91,22.91,low,14.29,None
Haryana,January,2023,35.3,6.83,4.65,7.42,108,15.0,low,24.7,None
Bihar,March,2021,39.1,6.97,4.49,7.33,228,23.29,moderate,37.08,None
West Bengal,August,2024,244.3,6.8,10.5,5.23,523,22.84,severe,90.57,Typhoid Fever
Manipur,January,2023,31.2,7.23,5.21,9.0,107,16.12,low,23.42,None
Meghalaya,May,2021,58.0,6.84,4.3,7.94,102,30.59,moderate,25.99,None
Chhattisgarh,May,2021,56.4,7.38,4.1,5.99,92,28.91,moderate,35.7,Dysentery
Bihar,January,2023,15.9,7.1,3.54,8.64,210,21.35,moderate,29.75,None
Goa,March,2021,58.3,7.72,5.57,9.84,108,28.93,moderate,33.6,Giardiasis
Telangana,December,2021,124.2,7.6,5.68,6.08,108,18.78,moderate,37.76,None
Rajasthan,August,2023,222.4,8.5,5.91,6.57,333,26.81,high,70.67,Dysentery
Madhya Pradesh,March,2020,58.9,6.23,3.29,6.75,135,26.2,moderate,37.13,None
Uttar Pradesh,October,2023,143.2,7.19,8.91,4.68,198,29.93,high,61.09,Giardiasis
Kerala,January,2021,0.0,8.13,7.21,8.65,111,15.03,moderate,36.82,None
Haryana,May,2024,28.9,6.78,6.19,7.75,100,29.58,moderate,30.62,None
Chhattisgarh,September,2023,263.9,7.13,8.61,7.39,349,27.83,high,60.38,Dysentery
Tripura,February,2023,0.0,7.43,7.04,7.03,100,18.87,moderate,33.23,None
Mizoram,March,2021,15.2,7.17,2.56,7.79,100,27.54,low,21.64,None
Uttar Pradesh,August,2020,405.0,7.07,14.38,9.12,793,22.81,severe,132.2,Cholera
Maharashtra,September,2021,311.3,6.59,13.07,5.54,381,28.82,severe,102.06,None
Karnataka,January,2024,64.5,6.94,6.07,6.01,91,19.28,moderate,31.79,None
Meghalaya,January,2023,40.0,7.34,4.18,6.92,91,18.89,moderate,26.26,None
Jharkhand,May,2023,24.6,6.84,4.51,8.07,89,27.43,low,23.23,None
Gujarat,August,2021,266.4,6.92,7.77,5.61,340,23.73,high,64.16,Dysentery
Chhattisgarh,October,2021,85.4,7.17,2.54,8.84,96,24.5,low,18.63,Hepatitis A
Madhya Pradesh,April,2023,13.2,7.3,2.26,8.12,135,31.33,moderate,26.68,Cholera
Bihar,July,2020,201.6,7.27,13.5,4.7,594,27.9,severe,109.55,Giardiasis
Goa,December,2024,123.8,7.92,4.51,4.89,106,19.47,moderate,44.37,None
Odisha,October,2023,51.3,6.72,2.4,7.11,93,19.65,low,21.35,Dysentery
Chhattisgarh,April,2022,28.7,6.55,4.2,4.76,112,29.09,moderate,44.85,None
Karnataka,December,2020,14.8,7.05,5.09,7.75,104,23.73,low,24.2,None
Telangana,December,2024,164.0,6.34,5.35,5.86,94,19.42,moderate,37.4,None
Karnataka,March,2024,0.0,6.65,5.32,10.28,103,26.62,moderate,27.75,None
Nagaland,April,2020,49.7,6.42,5.71,7.63,80,27.58,moderate,30.86,Giardiasis
Assam,May,2021,42.2,6.93,6.67,6.25,102,30.68,moderate,38.33,Typhoid Fever
Maharashtra,January,2024,4.7,6.94,9.3,7.49,81,15.71,moderate,29.85,None
Rajasthan,July,2021,133.1,8.5,9.37,6.63,142,27.19,high,58.38,Dysentery
Sikkim,July,2020,0.0,7.14,2.39,7.69,174,31.28,moderate,30.77,None
Jharkhand,September,2020,401.9,5.89,10.2,4.62,459,25.8,severe,116.64,Hepatitis A
Kerala,February,2022,45.9,7.32,3.37,8.16,100,22.27,low,21.08,None
Gujarat,October,2024,59.8,7.41,3.15,6.01,95,26.53,moderate,33.12,Typhoid Fever
Rajasthan,March,2022,12.2,7.82,9.86,4.39,106,23.4,high,58.27,Cholera
Goa,February,2021,30.2,7.12,7.56,5.77,101,21.0,moderate,38.07,None
Madhya Pradesh,October,2021,144.7,7.0,5.36,10.17,140,25.68,moderate,27.56,None
Jharkhand,May,2024,14.8,6.68,3.86,8.5,106,34.04,moderate,28.54,Hepatitis A
Maharashtra,August,2020,479.2,7.12,16.91,6.92,516,23.09,severe,112.28,Cholera
Tamil Nadu,November,2024,183.9,7.51,6.52,5.67,93,19.76,moderate,39.09,None
Himachal Pradesh,December,2024,120.9,7.11,6.98,4.06,94,15.84,moderate,44.16,None
Jharkhand,November,2020,24.3,7.42,0.57,3.62,108,17.72,moderate,38.04,None
Telangana,May,2023,26.1,7.9,6.62,6.05,95,26.09,moderate,44.54,None
Arunachal Pradesh,April,2021,38.6,7.03,4.71,4.59,112,26.41,moderate,41.18,None
West Bengal,May,2020,31.0,8.62,8.25,3.37,172,27.38,severe,76.74,Dysentery
Meghalaya,June,2021,230.7,7.21,4.85,6.72,309,29.71,high,53.95,None
Himachal Pradesh,October,2021,53.2,7.12,6.52,7.67,104,21.41,moderate,27.0,None
Uttarakhand,January,2024,60.0,7.42,2.9,6.53,79,26.23,moderate,28.36,None
Assam,July,2021,338.1,6.23,6.26,5.5,394,23.65,severe,88.73,Cholera
Nagaland,March,2023,15.2,5.77,3.82,5.46,85,26.01,moderate,44.15,None
Tamil Nadu,July,2022,21.1,7.18,5.0,8.56,162,25.73,moderate,30.86,None
Rajasthan,June,2020,170.7,7.58,6.05,5.82,159,29.94,moderate,49.67,None
Telangana,February,2020,38.7,6.71,1.19,8.85,100,27.42,low,18.99,None
West Bengal,February,2020,43.0,7.03,6.73,7.33,166,15.0,moderate,33.71,Hepatitis A
Chhattisgarh,March,2023,37.6,7.31,7.12,6.04,114,24.38,moderate,40.73,Giardiasis
Karnataka,April,2020,45.9,6.29,7.1,4.04,101,29.52,high,55.96,Cholera
Telangana,January,2020,28.2,7.87,4.28,6.59,95,19.09,moderate,33.81,None
Meghalaya,July,2024,309.1,8.12,7.91,4.39,397,18.74,severe,101.72,None
Telangana,November,2021,105.4,7.36,3.32,9.59,99,20.43,low,20.36,None
Chhattisgarh,April,2023,15.1,6.42,5.53,7.41,102,26.68,moderate,33.35,Giardiasis
Andhra Pradesh,August,2024,342.0,6.89,5.64,8.77,376,24.04,high,62.4,None
Mizoram,March,2020,59.2,6.89,2.84,7.94,104,17.02,low,17.48,None
Telangana,February,2020,29.1,7.17,4.0,6.36,88,18.03,moderate,26.7,Hepatitis A
Telangana,October,2024,75.0,7.46,2.35,9.46,102,29.59,low,24.29,None
Tamil Nadu,September,2020,331.6,7.08,14.62,7.97,394,21.07,severe,84.15,None
Mizoram,June,2022,328.3,7.45,14.66,6.64,399,26.76,severe,100.68,None
Tamil Nadu,September,2022,260.0,6.59,8.89,7.18,358,29.37,high,66.47,None
Telangana,February,2023,36.7,6.4,5.87,10.22,74,21.95,moderate,26.11,None
Assam,February,2020,53.6,7.61,2.51,9.83,82,19.54,low,19.32,Dysentery
Punjab,May,2020,11.4,7.17,4.05,6.56,95,24.69,moderate,28.85,Cholera
Chhattisgarh,April,2021,44.9,6.9,6.83,3.65,103,28.02,high,50.72,None
Haryana,August,2020,345.2,6.99,5.59,6.49,382,21.24,high,69.18,None
Chhattisgarh,June,2024,363.2,6.44,12.18,8.03,436,24.67,severe,91.07,Hepatitis A
Tripura,November,2021,95.3,7.5,3.34,5.68,104,17.89,moderate,33.68,Cholera
Goa,April,2024,80.9,7.25,0.5,4.97,98,26.99,moderate,31.95,Dysentery
Tamil Nadu,January,2022,30.2,7.22,5.49,5.9,98,19.91,moderate,33.48,Dysentery
Tripura,February,2021,11.2,7.23,2.94,12.0,107,15.0,low,18.88,Typhoid Fever
Telangana,October,2020,11.6,7.85,4.74,3.83,83,26.13,high,50.2,Hepatitis A
Himachal Pradesh,August,2020,344.5,5.88,9.24,5.23,387,28.03,severe,103.49,Dysentery
Mizoram,October,2024,33.0,7.47,9.55,7.86,89,19.32,moderate,33.4,Hepatitis A
Andhra Pradesh,November,2020,48.6,6.41,4.47,6.92,97,21.22,moderate,30.55,Hepatitis A
Tamil Nadu,April,2021,40.3,7.82,3.68,6.37,89,30.95,moderate,38.09,None
Assam,December,2022,118.5,7.58,2.62,6.61,98,17.06,moderate,27.79,Hepatitis A
Telangana,May,2021,63.4,7.81,1.82,8.24,93,27.59,low,24.83,Cholera
Nagaland,February,2023,1.2,7.12,8.5,8.13,102,22.14,moderate,29.47,Hepatitis A
Uttarakhand,January,2020,23.8,7.49,5.88,3.21,83,21.11,moderate,49.47,Cholera
Manipur,April,2023,79.4,7.47,0.5,5.53,99,25.72,moderate,30.81,None
Bihar,May,2021,2.2,6.99,11.76,8.41,172,29.41,moderate,45.52,Hepatitis A
Tamil Nadu,September,2024,485.7,6.17,10.2,6.32,508,25.0,severe,108.48,Dysentery
Nagaland,December,2023,116.6,7.23,4.35,7.77,111,19.76,low,23.25,None
Rajasthan,May,2023,0.0,7.54,7.14,7.02,108,26.63,moderate,38.7,None
Bihar,June,2022,343.4,8.1,16.34,6.12,780,25.93,severe,160.85,Giardiasis
Rajasthan,November,2021,70.6,7.84,3.28,5.62,110,17.94,moderate,37.86,None
Bihar,March,2022,56.4,8.01,1.57,8.28,202,24.4,moderate,35.64,None
Jharkhand,October,2024,165.5,6.93,3.2,8.31,87,26.7,low,19.15,Cholera
Odisha,December,2023,111.7,7.4,5.27,5.68,87,15.94,moderate,34.84,None
Odisha,October,2022,102.3,7.67,3.66,7.86,87,22.8,low,24.82,Typhoid Fever
Madhya Pradesh,February,2020,38.6,6.09,7.71,7.3,134,17.58,moderate,41.42,None
Manipur,January,2023,22.4,7.27,0.75,8.62,86,18.66,low,12.8,None
Andhra Pradesh,July,2022,337.0,6.89,9.53,5.87,373,32.89,severe,89.47,None
Punjab,July,2022,340.5,6.9,11.17,4.44,417,24.19,severe,101.92,None
Kerala,July,2022,466.4,6.79,9.23,7.56,519,30.89,severe,96.13,Cholera
Jharkhand,October,2023,75.7,7.38,0.5,5.96,89,28.9,moderate,28.35,None
Jharkhand,September,2021,222.7,6.9,4.03,6.72,303,23.61,moderate,47.56,None
Odisha,November,2024,67.0,6.64,0.53,6.79,89,21.22,low,20.22,None
Karnataka,November,2024,51.5,7.42,1.66,7.09,102,18.92,low,22.27,None
Nagaland,October,2024,105.0,7.1,3.23,6.95,102,31.2,moderate,28.51,None
West Bengal,July,2020,291.7,6.99,19.63,8.34,571,24.41,severe,98.66,Typhoid Fever
Andhra Pradesh,August,2021,289.4,7.07,12.83,9.84,357,23.67,high,63.9,None
Himachal Pradesh,February,2021,13.3,7.64,4.28,6.26,90,19.92,moderate,32.66,None
Odisha,August,2022,387.0,6.58,9.5,5.76,441,25.41,severe,97.45,None
Bihar,April,2022,32.5,7.35,8.8,7.37,222,28.74,high,50.82,Dysentery
Jharkhand,December,2024,99.4,6.46,2.57,7.55,90,23.11,low,23.34,None
Goa,May,2024,45.5,6.37,3.47,4.38,104,29.72,moderate,46.6,None
Odisha,December,2024,198.6,7.42,5.4,5.43,108,18.62,moderate,38.65,None
Assam,January,2020,0.0,7.82,2.49,8.52,87,15.0,low,21.88,Cholera
Maharashtra,March,2022,38.0,6.98,5.31,5.39,98,30.83,moderate,39.08,Dysentery
Andhra Pradesh,November,2022,82.8,6.8,5.32,6.35,98,19.86,moderate,30.69,None
Odisha,February,2022,9.0,7.08,1.91,8.24,100,23.4,low,16.32,None
Sikkim,November,2023,62.0,7.37,7.43,6.79,96,17.58,moderate,34.21,None
Andhra Pradesh,March,2020,38.4,7.43,7.46,8.44,109,27.45,moderate,33.84,Cholera
Kerala,March,2021,40.4,7.19,7.23,5.96,98,21.1,moderate,36.91,Typhoid Fever
Haryana,September,2022,188.0,7.17,4.04,7.18,150,21.59,moderate,29.68,Hepatitis A
Tamil Nadu,November,2023,131.6,7.38,5.95,6.78,103,19.73,moderate,32.1,None
Andhra Pradesh,March,2022,34.4,7.17,6.74,9.36,98,25.98,moderate,27.97,None
Nagaland,March,2021,0.0,7.2,3.34,6.38,95,23.95,moderate,28.26,Hepatitis A
Bihar,January,2023,19.0,6.74,6.57,8.21,186,19.97,moderate,34.34,Hepatitis A
Maharashtra,October,2024,142.0,6.83,4.74,5.51,100,20.17,moderate,33.72,None
Maharashtra,June,2021,151.8,7.9,4.4,5.44,166,28.23,high,51.32,None
Odisha,July,2022,398.8,6.99,10.91,5.21,438,24.26,severe,98.16,Hepatitis A
Jharkhand,May,2021,40.9,7.13,6.27,8.66,98,30.92,moderate,29.1,Giardiasis
Sikkim,December,2022,59.4,7.58,4.69,7.71,105,20.67,moderate,27.47,None
Tamil Nadu,February,2024,32.7,8.14,2.77,8.58,119,24.63,moderate,31.16,None
Madhya Pradesh,June,2020,332.6,6.66,7.97,6.26,567,30.11,severe,107.75,Cholera
Andhra Pradesh,November,2020,69.7,6.98,6.53,6.21,92,19.83,moderate,31.41,None
Tamil Nadu,May,2020,47.9,8.6,4.98,7.43,98,27.47,moderate,42.34,None
Arunachal Pradesh,November,2020,119.7,8.84,1.71,5.46,106,21.91,moderate,46.07,None
Chhattisgarh,April,2022,55.8,6.6,3.62,7.13,98,28.05,moderate,29.42,None
Jharkhand,December,2022,187.5,6.33,4.63,9.02,76,17.55,low,23.56,None
Meghalaya,November,2023,111.7,8.76,3.03,7.1,117,16.93,moderate,39.86,None
Haryana,February,2020,0.0,6.81,3.03,6.53,108,15.0,moderate,26.11,Dysentery
Sikkim,September,2022,65.7,6.8,6.04,9.19,108,23.38,moderate,26.57,None
Sikkim,August,2021,233.8,6.86,10.52,5.3,325,22.75,high,69.81,Dysentery
Punjab,May,2023,61.5,7.4,5.31,7.54,97,28.01,moderate,30.63,Giardiasis
West Bengal,August,2023,373.9,6.34,16.04,5.24,686,24.4,severe,147.94,Typhoid Fever
Tamil Nadu,January,2021,39.4,7.47,6.14,4.99,94,23.79,moderate,43.32,None
Maharashtra,December,2023,74.7,6.7,4.26,7.08,96,17.98,moderate,25.72,None
Andhra Pradesh,July,2022,384.8,6.78,12.56,6.45,448,28.32,severe,100.84,None
Punjab,June,2022,243.9,7.61,10.08,5.76,336,27.22,high,74.67,None
Karnataka,September,2021,482.0,6.9,11.83,6.76,511,21.56,severe,99.29,Hepatitis A
West Bengal,July,2020,220.7,7.4,11.76,5.97,508,25.86,severe,91.4,Typhoid Fever
Assam,September,2020,273.5,5.75,13.78,8.01,324,21.21,high,73.06,Giardiasis
Chhattisgarh,February,2023,45.0,7.61,3.25,5.66,99,23.9,moderate,36.15,None
Meghalaya,May,2024,52.8,7.9,5.9,7.08,107,26.92,moderate,39.56,None
Mizoram,January,2020,5.6,5.92,6.66,8.16,120,17.65,moderate,36.12,None
Sikkim,June,2021,329.0,6.58,6.17,8.03,421,29.4,severe,76.01,None
Andhra Pradesh,May,2023,14.2,7.26,2.66,6.75,103,27.28,moderate,28.11,None
Punjab,August,2022,287.7,6.81,8.08,11.62,379,24.14,high,58.03,Dysentery
Sikkim,May,2023,37.9,6.77,6.01,9.8,101,31.73,moderate,30.29,Giardiasis
Uttarakhand,September,2023,257.8,6.82,9.79,7.27,339,20.93,high,59.39,Hepatitis A
Bihar,August,2023,410.5,6.93,9.31,10.96,894,27.15,severe,134.75,Cholera
Odisha,October,2023,180.3,7.05,5.34,5.17,103,23.92,moderate,37.59,None
Manipur,September,2022,305.4,6.65,8.71,5.44,364,27.18,severe,88.45,Cholera
Arunachal Pradesh,February,2021,18.6,6.36,5.69,6.17,104,20.75,moderate,37.7,None
Mizoram,December,2023,77.4,7.74,4.23,6.6,98,25.52,moderate,35.42,None
Telangana,March,2021,8.6,7.83,6.6,8.8,106,23.76,moderate,33.98,None
Tripura,May,2023,39.5,6.63,3.76,7.26,107,26.67,moderate,28.96,None
Himachal Pradesh,August,2022,337.4,7.12,7.25,6.26,390,26.69,severe,80.09,None
Arunachal Pradesh,July,2024,420.2,6.16,14.27,8.56,457,24.06,severe,101.6,Dysentery
Odisha,March,2021,58.2,6.65,9.19,6.55,91,24.04,moderate,40.25,Hepatitis A
Maharashtra,August,2022,173.9,7.21,4.98,6.01,159,22.4,moderate,39.11,None
Nagaland,September,2024,204.1,6.81,12.74,6.92,283,23.99,high,63.08,Giardiasis
Sikkim,October,2023,180.6,7.45,3.34,10.09,109,22.71,low,23.44,None
Maharashtra,November,2020,121.6,6.72,6.49,4.62,97,23.06,moderate,43.91,None
Rajasthan,December,2022,9.1,7.85,6.79,6.52,115,21.52,moderate,41.74,Cholera
Jharkhand,October,2022,88.6,6.61,4.5,4.64,116,22.14,moderate,42.37,None
Manipur,December,2024,152.3,7.1,1.59,5.46,109,21.09,moderate,28.32,None
Manipur,December,2021,204.8,6.42,9.03,6.69,216,22.34,high,53.18,Hepatitis A
Meghalaya,June,2022,514.6,6.83,10.78,6.2,552,30.35,severe,111.16,Giardiasis
Manipur,December,2023,63.5,7.35,3.27,5.65,101,17.14,moderate,31.89,None
Madhya Pradesh,September,2023,363.6,7.71,13.91,5.16,592,23.25,severe,131.93,Hepatitis A
Manipur,August,2024,432.7,6.33,3.81,7.69,475,20.83,severe,76.54,Giardiasis
Tripura,March,2020,24.5,7.07,2.37,6.5,94,25.66,moderate,25.17,None
Goa,October,2023,108.1,6.86,4.26,8.05,104,24.75,low,22.69,None
Goa,February,2022,66.8,6.97,5.57,3.47,109,20.19,moderate,45.09,None
Manipur,November,2022,147.6,7.84,5.01,8.81,86,16.36,moderate,27.02,Hepatitis A
Bihar,December,2020,83.1,7.59,6.65,9.76,208,20.52,moderate,40.26,None
Haryana,September,2022,175.7,7.21,6.9,6.63,142,23.28,moderate,38.59,None
Meghalaya,October,2023,110.4,7.33,4.36,6.67,102,28.78,moderate,33.26,Giardiasis
Goa,June,2024,439.6,7.5,14.49,4.88,471,28.86,severe,121.33,Dysentery
Assam,August,2021,328.4,6.47,15.94,6.69,403,21.92,severe,101.99,Giardiasis
Assam,March,2021,35.9,7.14,4.16,5.82,100,23.53,moderate,32.38,None
West Bengal,November,2021,170.0,8.17,6.97,8.01,164,19.41,moderate,42.04,None
Himachal Pradesh,April,2020,28.3,7.29,7.14,6.95,98,26.43,moderate,35.45,None
Rajasthan,September,2020,194.6,7.99,4.92,9.99,138,29.97,moderate,38.53,None
Arunachal Pradesh,September,2023,142.5,7.43,5.15,6.67,153,24.96,moderate,39.03,Hepatitis A
Andhra Pradesh,October,2023,34.3,7.22,0.62,6.26,91,23.84,low,23.16,None
Mizoram,August,2020,258.5,6.54,9.78,7.39,342,24.75,high,63.79,Dysentery
Meghalaya,September,2020,429.2,6.88,13.74,5.12,498,19.69,severe,111.46,Giardiasis
Arunachal Pradesh,October,2023,32.0,5.72,2.62,5.1,81,25.51,moderate,43.4,None
Nagaland,July,2023,182.9,7.42,4.97,6.43,145,22.39,moderate,37.69,None
Tamil Nadu,March,2021,42.3,6.74,5.19,5.56,108,26.17,moderate,39.07,None
Meghalaya,November,2020,262.3,6.34,3.38,8.67,216,22.26,moderate,36.09,None
Odisha,June,2020,82.4,6.45,7.42,9.32,157,30.21,moderate,41.14,None
Assam,May,2024,19.8,7.65,5.94,7.7,94,35.0,moderate,36.78,None
Nagaland,August,2020,439.0,6.87,7.06,7.43,486,20.3,severe,80.42,None
Mizoram,November,2021,100.4,7.15,2.42,8.36,85,20.45,low,15.07,None
Assam,November,2023,96.5,7.19,3.63,9.48,101,17.52,low,19.26,None
Karnataka,May,2023,48.6,8.03,3.35,5.53,105,33.92,moderate,46.81,Hepatitis A
Jharkhand,January,2020,61.4,7.45,2.75,7.87,100,17.34,low,20.65,Hepatitis A
Meghalaya,February,2021,55.6,7.61,5.28,8.72,95,18.67,moderate,26.16,None
Bihar,August,2021,300.1,7.0,5.42,6.09,744,28.85,severe,119.06,None
Chhattisgarh,March,2021,36.3,7.7,0.66,9.15,98,25.38,low,20.81,None
Madhya Pradesh,March,2021,28.3,7.53,3.88,2.96,128,23.32,high,52.72,Cholera
Jharkhand,July,2021,352.4,6.76,9.34,8.38,423,29.05,severe,81.49,Dysentery
Madhya Pradesh,June,2020,307.2,5.96,10.65,7.91,512,28.05,severe,104.85,Cholera
Maharashtra,September,2020,255.0,7.0,10.06,7.86,321,25.25,high,55.55,Dysentery
Assam,May,2020,83.9,7.4,3.59,6.64,86,24.4,moderate,28.78,Cholera
Punjab,November,2020,175.7,7.26,1.89,8.33,97,19.35,low,16.08,Cholera
Madhya Pradesh,June,2022,398.3,7.41,13.83,6.24,638,28.52,severe,130.34,Dysentery
Maharashtra,December,2020,14.9,7.67,2.85,7.43,87,15.0,low,23.95,Hepatitis A
Mizoram,December,2024,6.9,7.34,8.12,7.15,81,20.2,moderate,32.09,Cholera
Uttarakhand,June,2024,243.1,7.28,12.03,5.15,325,24.39,severe,75.81,Cholera
Assam,April,2023,45.9,7.78,6.39,6.83,97,27.65,moderate,39.95,None
Tripura,February,2020,45.6,7.44,4.82,5.4,99,18.43,moderate,36.94,None
Karnataka,March,2020,4.8,8.18,4.93,7.11,94,28.18,moderate,39.6,None
West Bengal,June,2020,225.6,6.34,12.35,5.27,518,27.57,severe,100.53,Typhoid Fever
Manipur,April,2023,19.5,7.09,6.39,8.0,97,25.85,moderate,26.3,None
Mizoram,July,2021,303.3,6.59,8.23,7.55,379,18.63,high,72.85,None
Tamil Nadu,June,2021,133.6,7.33,4.92,7.42,153,25.58,moderate,34.13,None
Odisha,September,2021,359.0,6.89,8.38,7.78,421,22.43,high,74.73,None
Madhya Pradesh,May,2024,18.4,7.19,5.01,5.84,130,29.81,moderate,40.62,None
Jharkhand,November,2022,99.6,6.79,3.71,8.16,96,21.03,low,19.63,None
Madhya Pradesh,May,2023,26.5,6.72,5.34,6.04,152,31.44,moderate,44.2,Cholera
Madhya Pradesh,March,2022,44.1,7.04,3.03,5.56,142,26.94,moderate,36.33,Typhoid Fever
West Bengal,February,2020,15.8,7.13,4.98,8.82,164,20.34,moderate,27.83,Hepatitis A
Karnataka,October,2023,133.1,7.4,9.07,6.35,97,18.99,moderate,40.09,None
Goa,September,2022,300.8,6.91,8.43,6.59,379,25.71,severe,78.68,Cholera
Telangana,December,2020,49.8,8.28,0.5,7.94,103,19.68,low,24.4,None
